NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	833.1890489599999	17.396531406482477		7.4	3.7
2048	839.12009792	22.29122084510727		7.4	3.7
4096	850.98219584	32.08059972235684		9.4	5.4
8192	874.70639168	51.659357476855995		16.2	8.3
16384	922.15478336	98.6492784014971		30.6	17.6
32768	1017.0515667200001	181.07264080748408		58.0	33.0
65536	1206.8451334400002	345.919365619458		158.6	81.4
131072	1586.4322668799998	675.612815243406		351.8	192.5
262144	2345.60653376	1334.9997144913018		862.0	482.0
524288	3863.9550675200003	2653.773512987093		1738.6	973.7
1048576	6900.65213504	5291.321109978676		4062.6	2265.9
2097152	12974.04627008	10566.416303961843		8104.4	4500.6
4194304	25120.83454016	21116.606691928173		17360.4	11578.4
8388608	49414.41108032	42216.98746786084		35547.0	24883.5
16777216	98001.56416064002	84417.74901972618		68129.2	29607.9
33554432	195175.87032128	168819.27212345682		138094.6	55625.2
67108864	389524.48264256003	337622.31833091815		274413.8	73743.5
