NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
9568256	25.7676	43.9878	52.6055	35.763	40.2256	34.1208	783.876	27.6383
9699328	11.8281	47.3111	93.209	34.8966	96.0889	31.6336	853.819	26.4275
9830400	49.3916	38.4671	58.0156	32.7662	51.5469	35.1177	912.963	27.8621
9961472	86.1768	44.2421	58.002	35.1446	89.6016	36.315	937.009	26.1187
10092544	6.45898	39.8905	8.35449	32.1621	2.12109	34.3666	907.592	24.8175
10223616	-43.0312	41.7118	75.7354	31.9865	84.8818	30.5182	949.7809999999999	23.8739
10354688	-16.7109	46.7004	12.6426	31.9452	-11.1689	35.3882	886.39	25.8138
10485760	26.3164	45.3993	104.481	31.6577	94.3271	32.0996	958.384	24.8323
10616832	27.1406	40.4501	45.6465	34.6711	90.1523	32.1534	979.742	24.8643
10747904	74.0127	40.1076	107.752	30.7362	74.166	32.5458	994.36	26.2272
10878976	89.3115	41.4068	95.5127	33.985	96.97750000000001	33.8037	1064.8	22.7832
11010048	32.0156	47.4198	52.6074	33.3408	100.657	30.1345	970.259	27.8025
11141120	198.791	31.6823	210.976	31.9155	99.8848	36.0852	1038.21	27.3487
11272192	34.0244	45.4182	78.7812	32.7761	73.6152	32.7591	1046.14	25.7348
11403264	0.492188	44.5698	46.2812	36.2866	89.5117	32.2199	1016.82	25.2898
11534336	38.8311	50.6028	106.019	35.7152	153.47	30.2556	1087.1	27.7987
11665408	78.54000000000001	44.5353	99.7246	33.866	-172.803	132.139	1089.18	24.9876
11796480	8.643549999999999	41.9489	-68.91889999999999	38.3124	-28.8584	32.8378	936.879	26.9031
11927552	-25.459	46.8875	108.06	37.0348	98.6768	34.996	1139.91	28.6587
12058624	302.063	48.1966	406.75	36.7312	350.991	36.748	1432.46	28.0263
12189696	4.86816	47.4603	112.202	33.328	-398.073	168.48	1106.11	28.2713
12320768	115.689	41.8065	153.34	30.202	134.287	32.5221	762.725	224.155
