NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
10485760	42.2285	28.095	41.6494	28.9251	15.3418	31.6422	5850.72	27.8178
10616832	41.1523	27.2247	28.9736	29.2652	28.7119	29.8626	5935.46	27.3702
10747904	23.916	26.82	19.8867	27.1812	34.2373	28.8723	6120.74	27.1181
10878976	8.85059	25.9922	16.3877	25.207	-8.497070000000001	28.6575	6086	22.2989
11010048	-2.71387	28.2149	36.5869	26.357	73.9258	23.5742	6213.97	27.0493
11141120	36.2803	27.1082	15.3184	28.2803	43.0586	28.3506	6336.47	33.9494
11272192	3.84766	29.895	-23.3574	28.2742	27.4639	30.681	6320.28	30.5987
11403264	-28.8545	30.6761	16.5654	28.2539	12.2363	28.1967	6348.82	32.2366
11534336	37.1475	26.3209	6.26074	27.9902	9.63574	28.7336	6532.32	39.9789
11665408	342.748	28.6198	334.265	25.6026	348.033	27.6332	6920.22	40.7248
11796480	58.042	24.355	22.3428	26.7967	44.5928	26.9223	6683.31	42.2628
11927552	128.701	29.0611	215.603	27.231	172.771	29.3853	6824.67	36.3727
12058624	-741.171	206.563	-25.9287	30.0773	65.1357	28.0498	6805.12	34.4459
12189696	242.499	123.125	153.699	121.624	425.07	29.7252	7208.36	32.235
12320768	408.654	32.5571	356.477	30.9883	-69.2119	161.126	7284.94	40.735
12451840	35.3945	30.69	-235.041	125.376	18.5967	31.7281	7012.09	53.2726
12582912	108.758	21.1077	59.2266	28.3192	-323.141	218.286	7103.45	52.7623
12713984	-481.661	216.623	415.51	22.9338	-454.995	217.897	7574.12	53.0595
12845056	-304.459	187.988	-783.859	202.425	-95.1289	221.644	7547.82	50.2353
12976128	-41.4541	169.13	-466.379	187.484	-307.512	214.433	7757.4	48.8831
13107200	-34.4092	213.657	265.874	196.979	373.35	222.712	8665.85	52.6327
