NumberOfElements	Complex_Access	Complex_StdDev	Complex_StdErr	Cached_Access	Cached_StdDev	Cached_StdErr	Continuous_Access	Continuous_StdDev	Continuous_StdErr	Constant_Access	Constant_StdDev
6.29146e+06	20728	73.8723	10.4471	1490.1	0.912784	0.129087	2309.38	8.65676	1.22425	911.153	50.0041	7.07165
6.42253e+06	21163.4	65.9596	9.32809	1520.85	0.638855	0.0903477	2359.22	5.84625	0.826785	933.234	50.3266	7.11726
6.5536e+06	21603.9	78.4438	11.0936	1551.29	0.796066	0.112581	2406.31	5.25541	0.743227	950.226	44.9384	6.35525
6.68467e+06	22041.4	63.6652	9.00362	1581.8	0.838126	0.118529	2569.33	12.8593	1.81859	959.537	61.132	8.64536
6.81574e+06	22470.2	62.1853	8.79433	1612.26	0.610001	0.0862672	2503.5	6.47464	0.915652	982.935	60.6194	8.57287
6.94682e+06	22886.6	52.2897	7.39488	1755.63	0.621909	0.0879512	2550.06	4.75942	0.673084	1014.13	45.3117	6.40805
7.07789e+06	23312.5	55.2075	7.80752	1788.24	0.801335	0.113326	2599.8	6.26382	0.885838	1026.1	50.731	7.17445
7.20896e+06	23776.8	56.1137	7.93568	1820.93	0.695606	0.0983735	2644.56	2.06172	0.291571	1046.31	60.8484	8.60527
7.34003e+06	24232.8	57.0886	8.07354	1853.47	0.44688	0.0631983	2814.82	8.66057	1.22479	1063.76	59.4315	8.40488
7.4711e+06	24665.3	63.5547	8.98799	1886.41	0.564779	0.0798718	2855.02	30.759	4.34998	1095.16	46.2062	6.53454
7.60218e+06	25099.1	80.467	11.3798	1793.9	2.39213	0.338299	2915.13	15.9561	2.25654	1117.32	37.2271	5.2647
7.73325e+06	25523.2	86.6223	12.2502	1821.52	1.11176	0.157227	2843.41	6.39469	0.904345	1130.1	45.7352	6.46794
7.86432e+06	25971.9	88.3963	12.5011	1853.18	2.35799	0.33347	3000.05	11.2829	1.59565	1147.67	48.7787	6.89835
7.99539e+06	26383.5	80.2377	11.3473	1887.56	0.843151	0.11924	2935.67	6.28699	0.889115	1164.3	45.7406	6.4687
8.12646e+06	26790.1	83.2213	11.7693	2049.8	0.544001	0.0769334	3120.48	8.94405	1.26488	1180.6	55.602	7.86331
8.25754e+06	27248.3	76.042	10.754	2085.43	3.5646	0.50411	3171.86	11.7625	1.66348	1196.51	55.391	7.83347
8.38861e+06	27682.8	67.1446	9.49568	1404.68	8.12342	1.14883	2626.39	23.8709	3.37585	1210.26	81.556	11.5338
8.51968e+06	28135.9	39.2076	5.54479	2004.4	1.04197	0.147356	3129.81	4.26765	0.603536	1227.44	73.4165	10.3827
8.65075e+06	28572.9	54.5338	7.71224	2035	1.79922	0.254448	3178.31	4.90343	0.69345	1248.7	74.7571	10.5723
8.78182e+06	29009.9	43.7925	6.1932	2070.73	0.813149	0.114997	3226.42	5.85263	0.827687	1282.65	42.8639	6.06187
