NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
51	290.685	61.1648	8.65001	301.615	77.4119	10.9477	304.788	75.69759999999999	10.7053	143.692	59.6762	8.439489999999999
52	310.065	78.2294	11.0633	317.437	82.596	11.6808	303.436	71.154	10.0627	156.861	71.66419999999999	10.1348
53	298.692	67.4755	9.542479999999999	310.593	80.6425	11.4046	290.98	62.482	8.83629	143.83	57.6215	8.14892
54	302.673	66.6751	9.42929	308.701	79.9226	11.3028	286.066	52.8556	7.47491	143.095	62.6206	8.85589
55	304.874	70.09310000000001	9.912660000000001	302.364	72.53700000000001	10.2583	302.641	73.02200000000001	10.3269	148.285	64.03319999999999	9.05566
56	298.274	63.5477	8.987	302.684	81.5408	11.5316	292.998	54.0775	7.64772	159.347	69.52209999999999	9.831910000000001
57	305.518	77.79389999999999	11.0017	298.173	75.34269999999999	10.6551	300.988	69.2415	9.79222	148.402	60.3452	8.5341
58	293.812	56.4209	7.97912	322.74	82.258	11.633	300.582	66.4637	9.39939	141.111	52.6489	7.44568
59	296.684	66.77290000000001	9.44312	292.468	66.0728	9.344099999999999	305.521	74.52419999999999	10.5393	147.224	61.3718	8.67929
60	306.939	76.60469999999999	10.8335	309.376	77.88630000000001	11.0148	301.423	66.85550000000001	9.454789999999999	153.583	70.84439999999999	10.0189
61	291.617	55.5347	7.85379	305.738	68.6434	9.707649999999999	297.443	61.4833	8.69505	146.307	62.7594	8.87552
62	301.489	72.3272	10.2286	311.215	69.9335	9.890090000000001	304.491	70.2504	9.934900000000001	150.136	70.8896	10.0253
63	302.786	67.1339	9.494160000000001	296.002	67.9007	9.60261	289.491	59.2902	8.3849	152.847	65.38290000000001	9.24654
64	300.594	63.4546	8.97383	310.582	77.77719999999999	10.9994	283.583	56.5628	7.99919	153.532	69.0513	9.765330000000001
65	295.633	59.9597	8.47958	289.277	71.0656	10.0502	298.698	73.083	10.3355	145.851	63.6754	9.00506
66	308.302	67.6126	9.561870000000001	316.579	84.7873	11.9907	302.549	66.5759	9.41526	155.764	66.6696	9.428509999999999
67	277.711	46.871	6.62856	311.098	84.1186	11.8962	302.769	64.44110000000001	9.113350000000001	147.663	59.0345	8.348739999999999
68	306.554	66.51439999999999	9.406549999999999	305.679	77.2363	10.9229	292.368	72.1904	10.2093	152.993	69.2782	9.797420000000001
69	298.116	60.8256	8.602040000000001	314.989	88.06399999999999	12.4541	310.613	81.77249999999999	11.5644	159.294	65.42910000000001	9.253080000000001
70	300.582	75.5355	10.6823	300.065	68.6362	9.706619999999999	301.527	79.9341	11.3044	153.485	65.2409	9.226459999999999
71	293.596	53.2187	7.52627	308.426	81.291	11.4963	287.284	56.254	7.95552	146.476	67.6189	9.562760000000001
72	297.427	63.7883	9.02103	294.461	70.3516	9.94922	296.675	78.4422	11.0934	135.005	54.7848	7.74774
73	304.251	78.04089999999999	11.0367	313.695	70.1264	9.91738	294.199	84.51349999999999	11.952	149.725	62.6014	8.85318
74	306.44	79.8815	11.2969	300.748	67.3154	9.51984	298.948	93.3999	13.2087	155.301	68.7394	9.721220000000001
75	301.416	70.3524	9.949339999999999	285.26	62.6284	8.85699	328.531	103.756	14.6733	154.118	67.45780000000001	9.53998
76	294.182	81.8793	11.5795	298.763	64.4639	9.116569999999999	309.697	70.49120000000001	9.968959999999999	153.54	64.1212	9.068099999999999
77	269.3	40.3128	5.7011	307.991	74.82850000000001	10.5824	304.787	78.1114	11.0466	153.211	60.6982	8.584020000000001
78	261.635	33.6126	4.75354	319.177	82.7701	11.7055	314.132	86.14960000000001	12.1834	148.129	70.1977	9.92746
79	291.271	69.2509	9.79355	295.652	64.9623	9.187060000000001	282.354	65.4894	9.2616	136.776	44.0261	6.22624
80	316.108	81.0153	11.4573	304.009	71.5004	10.1117	317.201	77.1319	10.9081	153.011	63.3514	8.959239999999999
