NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	833.1890489599999	9.143985700945743		4.2	1.6
2048	839.12009792	9.536129434033796		4.4	1.5
4096	850.98219584	10.320416900209903		4.8	1.8
8192	874.70639168	11.888991832562116		6.2	2.7
16384	922.15478336	22.858547112909346		9.0	3.9
32768	1017.0515667200001	33.24117823030856		20.0	10.1
65536	1206.8451334400002	54.006440465106984		41.2	14.4
131072	1586.4322668799998	95.53696493470383		76.4	26.1
262144	2345.60653376	178.59801387389754		147.0	54.8
524288	3863.9550675200003	344.7201117522849		318.4	113.2
1048576	6900.65213504	676.9643075090597		578.4	195.4
2097152	12974.04627008	1341.4526990226093		1114.2	388.4
4194304	25120.83454016	2670.4294820497084		2427.0	1158.7
8388608	49414.41108032	5328.383048103908		4699.0	1910.4
16777216	98001.56416064002	10644.290180212303		9283.0	3429.8
33554432	195175.87032128	21276.104444429096		15584.0	160.4
67108864	389524.48264256003	42539.73297286268		34421.6	7777.8
