TestNumber	Time	StdDev StdErr
193	1970.85	29.978	4.23953
194	3209.48	54.5065	7.70838
195	3244.76	60.8742	8.60891
196	3112.56	57.7544	8.1677
197	3160.41	56.6578	8.01263
198	3198.4	47.0461	6.65332
199	3223.6	64.228	9.08321
200	281.374	16.0808	2.27417
201	3203.6	61.5178	8.69994
202	3210.27	60.2176	8.51606
203	2000.94	44.8956	6.3492
204	2968.45	64.7352	9.15495
205	3058.53	73.2918	10.365
206	3061.28	71.8489	10.161
207	2834.45	56.8051	8.03346
208	3200.24	67.7559	9.58214
209	3085.98	76.813	10.863
210	3027.83	81.07	11.465
211	3117.38	78.2681	11.0688
212	3108.01	84.9692	12.0165
213	3106.69	92.8567	13.1319
214	1926.8	16.1211	2.27987
215	3227.82	82.3803	11.6503
216	2134.87	64.5696	9.13152
217	2333.49	78.5369	11.1068
218	3089.99	81.8766	11.5791
219	3115.96	95.5655	13.515
220	3096.3	100.976	14.2802
221	3119.09	90.8754	12.8517
222	3193.49	98.9601	13.9951
223	3232.02	99.8463	14.1204
224	3121.78	110.045	15.5627
225	3132.9	109.724	15.5173
226	2559.83	80.0511	11.3209
227	3145.95	107.224	15.1637
228	3162.38	112.696	15.9377
229	3217.51	103.106	14.5814
230	2983.38	106.72	15.0925
231	3072.11	92.1617	13.0336
232	2879.28	108.119	15.2903
233	3135.86	105.111	14.8649
234	3098.88	98.6916	13.9571
235	3016.59	115.242	16.2977
236	3116.95	107.519	15.2055
237	2964.56	84.921	12.0096
238	3128.21	110.025	15.5599
239	2967.39	86.0476	12.169
240	1898.63	12.2054	1.7261
241	3101.96	91.791	12.9812
242	1939.47	25.9933	3.676
243	3123.27	96.4099	13.6344
244	3255.56	128.861	18.2238
245	3116.63	103.168	14.5901
246	3110.03	96.7982	13.6893
247	3131.76	100.48	14.21
248	3112.29	102.315	14.4695
249	3672.28	122.693	17.3513
250	2917.34	94.7399	13.3982
251	3092.09	100.407	14.1997
252	2427.77	75.5984	10.6912
253	2986.87	101.897	14.4104
254	2319.38	71.8047	10.1547
255	2964.82	81.4328	11.5163
256	3173.42	93.1372	13.1716
257	3125.21	95.8466	13.5548
258	3176.23	78.9626	11.167
259	3550.55	89.4456	12.6495
260	3136.13	90.1616	12.7508
261	1680.91	38.0308	5.37836
262	2496.02	72.4777	10.2499
263	3141.25	67.7797	9.58549
264	3042.51	73.0721	10.334
265	3168.73	68.0543	9.62432
266	3153.71	77.7266	10.9922
267	3255.5	73.6053	10.4094
268	3053.26	85.8219	12.137
269	2987.45	77.6631	10.9832
270	1765.23	17.0476	2.4109
271	3179.27	74.7784	10.5753
272	3090.04	61.8831	8.75159
273	2607.42	61.5153	8.69958
274	3176.98	82.5197	11.6701
275	2981.11	72.2167	10.213
276	3116.36	71.5857	10.1237
277	2957.77	75.0356	10.6116
278	3180.58	86.3542	12.2123
279	3086.33	72.8314	10.2999
280	3097.91	74.3199	10.5104
281	2533.53	48.689	6.88566
282	3084.49	72.4113	10.2405
283	3112.85	81.3418	11.5035
284	2846.25	83.1415	11.758
285	3106.7	89.0069	12.5875
286	3169.73	81.728	11.5581
287	3068.72	80.7031	11.4131
288	3308.19	84.0839	11.8913
289	2832.58	82.1794	11.6219
290	3006.8	92.8749	13.1345
291	2946.73	86.6067	12.248
292	2391.87	84.2391	11.9132
293	3110.09	90.1374	12.7473
294	3199.72	97.753	13.8244
295	3195.63	102.387	14.4797
296	669.981	14.6577	2.07292
297	3038.14	85.0662	12.0302
298	2629.62	92.3422	13.0592
299	2494.35	80.2087	11.3432
300	2782.34	97.4161	13.7767
301	3016.03	98.3672	13.9112
302	2000.19	70.5472	9.97689
303	3147.5	110.218	15.5872
304	2783.18	84.1114	11.8951
305	2631.13	91.8401	12.9882
306	3218.9	108.969	15.4106
307	3117.53	101.901	14.411
308	2782.36	95.2729	13.4736
309	3001.87	98.4244	13.9193
310	2977.54	98.227	13.8914
311	2288.27	67.2045	9.50416
312	3223.94	104.279	14.7473
313	3285	106.233	15.0236
314	3110.35	102.416	14.4838
315	1931.31	17.4696	2.47057
316	3116.96	99.7245	14.1032
317	3105.55	113.62	16.0683
318	2980.43	101.92	14.4137
319	3110.2	102.81	14.5395
320	3298.95	89.4825	12.6547
321	492.243	21.1386	2.98944
322	3110.15	108.886	15.3988
323	3076.45	101.091	14.2965
324	3083.13	106.923	15.1211
325	3003.78	91.2938	12.9109
326	2918.2	86.5163	12.2352
327	3252.23	92.909	13.1393
328	2953.73	90.9057	12.856
329	2064.63	74.9302	10.5967
330	3085.16	95.1317	13.4537
331	3105.37	98.2573	13.8957
332	3137.16	90.6869	12.8251
333	3110.32	93.6553	13.2449
334	3006.23	86.0506	12.1694
335	3100.45	97.5042	13.7892
336	3095.44	85.9022	12.1484
337	2780.67	100.649	14.2339
338	3092.71	92.544	13.0877
339	3129.05	80.582	11.396
340	3095.7	85.9431	12.1542
341	3119.94	81.9476	11.5891
342	2877.06	86.566	12.2423
343	3088.96	63.0694	8.91937
344	3128.49	85.2808	12.0605
345	2428.33	73.6107	10.4101
346	3075.01	73.6349	10.4136
347	3259.38	82.9873	11.7362
348	3105.45	74.9966	10.6061
349	3108.2	70.1275	9.91752
350	2924.56	72.5347	10.258
351	3114.43	65.1755	9.2172
352	3161.58	71.6239	10.1291
353	2009.71	56.548	7.99709
354	2132.46	66.0213	9.33682
355	3099.22	67.4394	9.53738
356	3116.07	64.2598	9.08771
357	3070.52	61.4858	8.6954
358	3045.29	70.6979	9.99819
359	2347.45	60.8911	8.6113
360	3103.14	54.2356	7.67007
361	319.524	8.14065	1.15126
362	3004.19	58.0059	8.20327
363	3400.69	54.373	7.6895
364	2907.78	59.8816	8.46853
365	3115.56	54.5054	7.70823
366	3110.23	58.4493	8.26599
367	3127.62	56.6284	8.00846
368	3120.88	58.817	8.31798
369	3072.71	51.072	7.22268
370	2817.53	56.7786	8.02971
371	3121.52	61.7906	8.73851
372	2886.95	53.1913	7.52239
373	3059.95	60.5199	8.5588
374	2590.09	49.9693	7.06673
375	3124.77	60.8444	8.6047
376	1035.42	12.8881	1.82266
377	2891.83	55.1178	7.79484
