NumElements	MemPrediction	RuntimePrediction	ActualRuntime	StandardDeviation
1024	833.1890489599999	19.103839541879733		8.4	5.4
2048	839.12009792	24.955837115901772		9.2	6.1
4096	850.98219584	36.65983226394586		12.8	7.9
8192	874.70639168	60.067822560034024		26.2	17.2
16384	922.15478336	113.96335721425316		58.8	40.0
32768	1017.0515667200001	210.9507984329962		116.0	74.5
65536	1206.8451334400002	404.92568087048227		347.6	227.1
131072	1586.4322668799998	792.8754457454544		776.6	508.4
262144	2345.60653376	1568.7749754953986		1619.0	1053.2
524288	3863.9550675200003	3120.574034995287		3441.6	2244.9
1048576	6900.65213504	6224.172153995064		7184.2	4727.0
2097152	12974.04627008	12431.36839199462		14366.6	9451.3
4194304	25120.83454016	24845.760867993726		37009.0	34452.8
8388608	49414.41108032	49674.54581999194		56906.8	28991.3
16777216	98001.56416064002	99332.11572398838		127829.6	55060.7
33554432	195175.87032128	198647.25553198124		265710.2	108844.2
67108864	389524.48264256003	397277.53514796693		422530.0	66772.2
