NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
51	625.34	0.714721	0.101077	625.387	0.644467	0.0911414	625.209	0.615433	0.0870354	625.273	0.549922	0.0777707
52	635.751	0.628314	0.088857	635.798	0.773805	0.109433	635.551	0.6878	0.0972696	635.664	0.683619	0.0966783
53	646.315	0.665222	0.0940766	646.193	0.652914	0.092336	646.273	0.7056	0.0997869	646.44	0.768467	0.108678
54	656.878	0.615711	0.0870747	656.867	0.855323	0.120961	656.685	0.786493	0.111227	656.638	0.667746	0.0944335
55	667.28	0.601622	0.0850823	667.369	0.838189	0.118538	667.06	0.718411	0.101599	667.127	0.629738	0.0890584
56	677.509	0.707183	0.100011	677.773	0.793347	0.112196	677.478	0.708569	0.100207	677.549	0.605804	0.0856736
57	688.04	0.724602	0.102474	688.251	0.772736	0.109281	688.126	0.695149	0.098309	688.184	0.684158	0.0967545
58	698.664	0.748363	0.105835	698.682	0.704161	0.0995833	698.66	0.690878	0.0977048	698.649	0.717007	0.1014
59	709.062	0.68408	0.0967435	709.024	0.788656	0.111533	709.04	0.765803	0.108301	708.865	0.723719	0.102349
60	719.791	0.806505	0.114057	719.724	0.728512	0.103027	719.802	0.780069	0.110318	719.68	0.69897	0.0988493
61	730.031	0.820513	0.116038	730.238	0.840832	0.118912	730.327	0.85249	0.12056	730.409	0.781055	0.110458
62	740.735	0.739368	0.104562	741.1	0.868836	0.122872	740.618	0.828189	0.117124	740.74	0.749102	0.105939
63	751.511	0.716213	0.101288	751.198	0.697466	0.0986365	750.907	0.645602	0.091302	751.138	0.722175	0.102131
64	762.318	0.75459	0.106715	762.238	0.811359	0.114744	762.089	0.818272	0.115721	761.902	0.79164	0.111955
65	772.529	0.853335	0.12068	772.507	0.791773	0.111974	772.024	0.544858	0.0770546	772.225	0.762138	0.107783
66	783.009	0.785987	0.111155	782.749	0.775588	0.109685	782.667	0.75797	0.107193	782.66	0.714513	0.101047
67	793.645	0.755154	0.106795	793.54	0.837881	0.118494	793.573	0.783888	0.110859	793.744	0.698161	0.0987349
68	803.842	0.712007	0.100693	803.984	0.76054	0.107557	804.233	0.722296	0.102148	804.049	0.800921	0.113267
69	814.345	0.7556	0.106858	814.345	0.543008	0.0767929	814.469	0.689485	0.0975078	814.398	0.71774	0.101504
70	824.896	0.750091	0.106079	825.071	0.749508	0.105996	825.047	0.86187	0.121887	824.856	0.748313	0.105827
71	835.407	0.726553	0.10275	835.333	0.702749	0.0993838	835.298	0.709609	0.100354	835.526	0.892204	0.126177
72	845.724	0.639118	0.090385	845.902	0.524336	0.0741524	845.767	0.813433	0.115037	845.8	0.850928	0.120339
73	856.527	0.685662	0.0969673	856.48	0.827145	0.116976	856.256	0.807857	0.114248	856.393	0.712411	0.10075
74	866.762	0.486143	0.0687509	866.871	0.792224	0.112037	866.749	0.762177	0.107788	866.671	0.86971	0.122996
75	877.42	0.73918	0.104536	877.313	0.721382	0.102019	877.409	0.776071	0.109753	877.127	0.801833	0.113396
76	887.909	0.764382	0.1081	887.916	0.757417	0.107115	887.498	0.652267	0.0922444	887.647	0.763851	0.108025
77	898.031	0.640784	0.0906206	898.015	0.730184	0.103264	898.124	0.705528	0.0997768	898.073	0.829835	0.117356
78	908.589	0.814068	0.115127	908.498	0.721216	0.101995	908.782	0.810859	0.114673	908.647	0.797611	0.112799
79	919.28	0.867498	0.122683	919.116	0.785908	0.111144	919.171	0.733034	0.103667	919.258	0.735454	0.104009
80	929.675	0.675719	0.0955611	929.84	0.80815	0.11429	929.662	0.893695	0.126388	929.556	0.758503	0.107269
81	940.327	0.777698	0.109983	940.518	0.793107	0.112162	940.22	0.723078	0.102259	940.284	0.788753	0.111547
82	950.982	0.925348	0.130864	950.913	0.68682	0.0971311	950.929	0.804132	0.113721	950.771	0.76602	0.108332
83	961.402	0.902423	0.127622	961.235	0.739027	0.104514	961.116	0.81398	0.115114	961.315	0.833724	0.117906
84	971.773	0.718951	0.101675	971.929	0.826034	0.116819	972.051	0.916096	0.129556	971.618	0.676954	0.0957358
85	982.147	0.853663	0.120726	982.478	0.900844	0.127399	982.211	0.649925	0.0919132	982.369	0.920454	0.130172
86	992.671	0.850674	0.120303	992.882	0.961045	0.135912	992.88	0.796515	0.112644	992.773	0.774655	0.109553
87	1003.08	0.797927	0.112844	1003.38	0.84324	0.119252	1003.46	0.746101	0.105515	1003.25	0.9729	0.137589
88	1013.69	0.834401	0.118002	1013.64	0.718669	0.101635	1013.6	0.681627	0.0963966	1013.62	0.785102	0.11103
89	1024.37	0.964387	0.136385	1024.15	0.791288	0.111905	1024.38	0.832371	0.117715	1024.36	0.80689	0.114111
90	1034.7	0.994019	0.140575	1034.69	0.904424	0.127905	1034.75	0.676382	0.0956548	1034.82	0.967277	0.136794
91	1045.21	0.806502	0.114057	1045.71	1.06646	0.150821	1045.26	0.946229	0.133817	1045.34	0.832523	0.117737
92	1055.83	0.897389	0.12691	1055.67	0.803787	0.113673	1055.66	0.900584	0.127362	1055.52	0.948138	0.134087
93	1066.26	0.931737	0.131767	1066.1	0.844296	0.119401	1066.29	0.910189	0.12872	1065.75	0.722034	0.102111
94	1076.56	0.938302	0.132696	1076.81	0.968517	0.136969	1076.54	0.976096	0.138041	1076.3	0.82096	0.116101
95	1087.25	0.848858	0.120047	1087.2	0.610052	0.0862743	1086.91	0.714623	0.101063	1086.98	0.738793	0.104481
96	1097.8	0.778403	0.110083	1097.71	0.996023	0.140859	1097.79	0.880869	0.124574	1097.41	0.80495	0.113837
97	1108.19	0.899937	0.12727	1107.96	0.824775	0.116641	1108.17	0.770943	0.109028	1107.83	0.836139	0.118248
98	1118.44	0.770654	0.108987	1118.76	0.829197	0.117266	1118.38	0.801244	0.113313	1118.48	0.832595	0.117747
99	1129.09	0.90025	0.127315	1128.84	0.879236	0.124343	1129.08	0.947632	0.134015	1128.94	0.851897	0.120476
100	1139.63	1.00458	0.142069	1139.53	0.867923	0.122743	1139.82	1.02464	0.144906	1139.54	0.798552	0.112932
101	1149.98	0.797763	0.112821	1150.04	0.887319	0.125486	1149.93	0.77134	0.109084	1150.19	0.909013	0.128554
102	1160.46	0.749257	0.105961	1160.43	0.684756	0.0968391	1160.65	0.994886	0.140698	1160.54	0.850618	0.120296
103	1170.85	0.67396	0.0953123	1171.22	0.932166	0.131828	1171.32	0.952013	0.134635	1171.22	0.932607	0.131891
