NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
9568256	18.8524	0.555739	19.6013	0.5408	17.9397	0.586193	4.18066	0.380164
9699328	19.7985	0.596319	18.5643	0.528338	18.5669	0.544875	3.93445	0.27748
9830400	19.7313	0.612293	18.9177	0.607722	19.7299	0.609536	4.34045	0.42613
9961472	19.2684	0.531886	19.5564	0.556005	20.0325	0.541004	6.89575	0.308114
10092544	21.2103	0.554317	19.08	0.480646	19.0658	0.509293	5.80969	0.391465
10223616	20.2032	0.713615	18.7286	0.641379	18.7748	0.550019	3.24304	0.402285
10354688	20.1702	0.636006	21.0115	0.616508	20.4918	0.608045	6.19568	0.334221
10485760	20.6744	0.484553	21.3613	0.516851	20.859	0.501607	7.9231	0.449059
10616832	19.7542	0.675615	20.5513	0.575003	20.7316	0.743235	3.74182	0.364184
10747904	20.1157	0.585892	20.9963	0.590382	21.1646	0.529518	5.74329	0.321137
10878976	21.2488	0.526398	22.5039	0.538652	21.3544	0.514299	7.44519	0.430737
11010048	22.5647	0.450298	21.4635	0.492769	20.6234	0.679551	6.84741	0.376826
11141120	21.978	0.588437	22.204	0.674379	21.0441	0.588378	5.33862	0.374865
11272192	21.1262	0.699284	20.5536	0.59197	21.3799	0.582254	5.57825	0.391861
11403264	19.9072	0.513172	20.0903	0.632947	19.575	0.580565	4.18909	0.482973
11534336	21.5973	0.547989	21.1006	0.602879	22.4556	0.702034	5.49023	0.403266
11665408	22.2344	0.579553	22.4004	0.712287	22.0427	0.6022	5.66235	0.463058
11796480	22.3074	0.737169	21.4963	0.643923	21.553	0.520629	5.2572	0.474476
11927552	22.8022	0.568716	22.8103	0.592007	22.6992	0.621273	5.36108	0.363184
12058624	22.2935	0.601524	21.5383	0.59211	23.4683	0.621734	5.99951	0.390251
12189696	23.2546	0.591225	25.2133	0.64025	23.6975	0.676656	6.58582	0.382869
12320768	23.8733	0.622459	23.3804	0.65723	22.5684	0.702339	5.26599	0.391234
12451840	24.5909	0.688076	25.1373	0.592147	23.8777	0.552424	7.18579	0.413117
12582912	26.8903	0.591017	26.4473	0.672116	25.9268	0.693573	8.26343	0.384141
12713984	25.3926	0.466512	24.3135	0.703607	24.3953	0.719543	6.36523	0.381256
12845056	24.0898	0.776064	22.8289	0.699026	22.6785	0.643802	5.73352	0.49962
12976128	24.1492	0.691944	24.543	0.534592	24.791	0.653984	4.20813	0.414552
13107200	26.7571	0.64565	26.9957	0.724026	27.2273	0.58236	8.94836	0.63154
13238272	23.2926	0.741694	22.9312	0.780745	22.8995	0.781758	5.76941	0.376273
13369344	25.6719	0.824563	25.1858	0.649392	25.9362	0.64762	5.71375	0.416405
13500416	27.8262	0.628885	27.1144	0.634722	26.495	0.718223	7.31799	0.481193
13631488	26.3035	0.514085	26.269	0.617568	25.7294	0.535711	9.10754	0.382066
13762560	26.007	0.65644	26.7861	0.654478	26.3872	0.647671	7.78296	0.446875
13893632	25.0737	0.590281	25.1219	0.778197	25.6744	0.720352	5.48108	0.481641
14024704	25.8202	0.649598	27.0367	0.612237	26.2168	0.772682	6.70813	0.459778
14155776	27.2734	0.537266	28.371	0.674955	27.6195	0.64621	9.62	0.492959
14286848	26.9014	0.477874	26.3041	0.732374	26.5402	0.681028	4.4165	0.496621
14417920	26.3872	0.71719	26.0372	0.707784	26.8652	0.589292	7.06726	0.459501
14548992	26.5281	0.718235	28.0778	0.780159	26.8744	0.717222	7.05005	0.506639
14680064	28.5641	0.653247	28.4492	0.70309	29.4441	0.665107	8.64844	0.437801
14811136	26.6885	0.851866	29.8035	0.686978	29.3698	0.710245	6.52222	0.438117
14942208	29.5331	0.748262	27.4617	0.663689	29.9362	0.735973	7.0896	0.5074
15073280	27.8854	0.743059	28.822	0.652462	28.7217	0.587628	8.18567	0.508033
15204352	28.2218	0.718785	28.8889	0.851168	29.5955	0.624697	7.67065	0.438857
15335424	30.5847	0.687831	29.5463	0.725931	29.9788	0.711296	6.00793	0.532987
15466496	30.8893	0.651604	28.8531	0.651124	29.323	0.690235	8.77112	0.453045
15597568	29.9791	0.695989	31.0304	0.714244	31.4531	0.680023	9.7843	0.467644
15728640	30.8427	0.638951	31.3002	0.725825	31.2682	0.727128	7.38782	0.525891
15859712	30.5962	0.68967	32.092	0.669827	30.6188	0.716784	7.72437	0.564199
15990784	29.769	0.651672	30.3412	0.748211	30.2595	0.746621	10.1692	0.497564
16121856	31.8669	0.738184	31.248	0.751067	29.3201	0.819036	7.46667	0.433682
16252928	32.955	0.673854	32.0619	0.647557	32.1063	0.65058	8.68054	0.451792
16384000	32.7568	0.724544	30.6472	0.82295	33.6362	0.671351	9.56323	0.487661
16515072	30.9302	0.739098	31.2361	0.607365	29.8225	0.778024	8.65283	0.518506
16646144	33.021	0.686859	31.0686	0.826739	33.1963	0.824592	7.47852	0.418201
16777216	32.5476	0.875778	32.6541	0.696997	32.168	0.607834	11.208	0.463173
