512	23,3985	4,06656	0,406656	22,9778	4,54756	0,454756	23,2355	3,99411	0,399411	22,2163	3,38209	0,338209
1024	24,9747	1,15301	0,16306	24,7022	1,05262	0,148863	24,8681	1,16232	0,164377	23,523	1,27245	0,179951
1536	25,1408	1,0604	0,149963	24,8978	1,01965	0,144201	24,8771	1,04238	0,147415	24,3673	1,71451	0,242468
2048	25,1557	1,08406	0,153309	25,2593	1,21593	0,171958	25,1645	1,05869	0,149721	23,8222	1,12828	0,159563
2560	25,3156	1,07277	0,151713	25,4104	1,1531	0,163073	25,4637	1,136	0,160655	24,0384	1,08235	0,153067
3072	25,683	1,18732	0,167912	25,7036	1,10917	0,15686	25,7779	1,1078	0,156666	24,2016	1,08806	0,153874
3584	26,0474	1,14426	0,161822	26,0801	1,24492	0,176058	26,006	1,17273	0,165849	24,3911	1,02898	0,14552
4096	26,1481	1,07831	0,152497	26,1215	1,05071	0,148593	26,3407	1,11472	0,157645	24,7912	1,26929	0,179505
4608	26,4149	1,08788	0,15385	26,5008	1,20863	0,170926	26,3614	1,0353	0,146414	24,7378	1,02044	0,144312
5120	26,5719	1,08071	0,152836	26,5304	1,1061	0,156427	26,6369	1,15971	0,164008	25,3659	1,09893	0,155412
5632	26,6488	1,05722	0,149514	26,7644	1,08444	0,153363	26,637	0,985448	0,139363	25,523	1,06073	0,15001
6144	27,0755	1,11653	0,157901	26,9718	1,11242	0,15732	27,0874	1,14542	0,161987	25,517	1,0218	0,144504
6656	27,2889	1,06203	0,150194	27,1733	1,10331	0,156031	27,1852	1,03662	0,1466	25,9288	1,13396	0,160366
7168	27,4193	1,03107	0,145815	27,6652	1,20613	0,170573	27,4756	1,07122	0,151493	26,1719	1,10886	0,156816
7680	28,0888	1,07079	0,151433	28,1866	1,07824	0,152485	28,2134	1,18977	0,168258	26,6933	1,14303	0,161649
8192	28,1688	1,04582	0,147901	28,169	1,10956	0,156915	28,003	1,10516	0,156293	26,8829	1,14175	0,161467
8704	28,2874	1,08138	0,15293	28,4712	1,3043	0,184456	28,2074	1,01815	0,143988	26,9777	1,17848	0,166662
9216	28,3733	1,11874	0,158214	28,5185	1,06879	0,151149	28,6519	1,11836	0,158161	27,4844	1,1799	0,166863
