WorkgroupSize	Runtime	StandardDeviation
1	21077.7	84.5214	11.9531
2	10558.1	61.3773	8.68007
3	7052.91	48.5112	6.86052
4	5284.41	29.2509	4.1367
5	4244.79	50.315	7.11561
6	3530.95	15.266	2.15894
7	3037.39	22.3459	3.16019
8	2659.88	20.3172	2.87328
9	2376.61	35.9379	5.08238
10	2132.25	21.1191	2.9867
11	1939.75	20.0122	2.83015
12	1780.35	14.4155	2.03867
13	1652.44	28.7596	4.06722
14	1531.83	21.5335	3.0453
15	1432.31	14.1356	1.99907
16	1346.29	25.287	3.57612
17	2512.15	25.2423	3.5698
18	2370.52	25.4191	3.59481
19	2246.73	24.3734	3.44693
20	2132.36	11.5957	1.63988
21	2038.21	23.1344	3.2717
22	1940.51	13.6585	1.93161
23	1859.87	25.5987	3.6202
24	1780.52	14.4681	2.04609
25	1711.51	17.0008	2.40428
26	1647.12	18.7016	2.6448
27	1588.32	22.6243	3.19956
28	1532.15	18.2376	2.57918
29	1481.91	25.0471	3.54219
30	1434.73	24.8702	3.51717
31	1387.84	19.5483	2.76454
32	1339.69	7.6265	1.07855
33	1941.57	18.9174	2.67533
34	1884.94	16.4664	2.3287
35	1833.47	17.7373	2.50843
36	1779.74	15.1863	2.14767
37	1736.44	21.6982	3.06859
38	1689.85	20.0566	2.83642
39	1647.28	21.7089	3.07011
40	1609.52	20.6047	2.91394
41	1564.9	9.0456	1.27924
42	1527.04	8.10836	1.1467
43	1498.38	19.4146	2.74565
44	1462.87	18.4976	2.61595
45	1430.42	11.4789	1.62336
46	1402.32	19.8758	2.81087
47	1372.65	16.8018	2.37614
48	1342.76	11.6712	1.65056
49	1743.6	9.87134	1.39602
50	1709.3	15.9518	2.25592
51	1677.99	15.8614	2.24314
52	1647.94	20.77	2.93731
53	1616.61	16.3725	2.31543
54	1589.07	21.9039	3.09769
55	1559.06	18.5793	2.62751
56	1529.17	11.3671	1.60755
57	1505.93	16.8788	2.38702
58	1481.11	18.7021	2.64487
59	1454.97	17.9423	2.53743
60	1432.29	17.4442	2.46698
61	1407.59	12.307	1.74047
62	1382.84	15.9835	2.26041
63	1361.73	8.19285	1.15864
64	1344.33	18.0247	2.54907
65	1645.02	12.4898	1.76633
66	1623.33	19.033	2.69167
67	1597.93	15.4896	2.19057
68	1572.71	8.48279	1.19965
69	1552.66	13.8293	1.95577
70	1531.4	15.2648	2.15876
71	1509.04	17.8657	2.52659
72	1488.55	13.884	1.96349
73	1468.89	12.307	1.74047
74	1449.21	11.9525	1.69034
75	1434.19	22.7164	3.21259
76	1413.41	18.017	2.54799
77	1398.62	25.1876	3.56207
78	1379.25	21.7986	3.08278
79	1361.79	12.2958	1.73889
80	1343.79	11.7141	1.65663
81	1585.33	14.4498	2.0435
82	1566.62	12.7838	1.80791
83	1545.32	7.46728	1.05603
84	1527.77	9.10964	1.2883
85	1511.43	15.5762	2.2028
86	1495.41	11.7181	1.65718
87	1476.66	10.3133	1.45853
88	1460.66	9.14736	1.29363
89	1446.41	14.43	2.04071
90	1432.75	17.3875	2.45897
91	1415.33	16.5145	2.33551
92	1398.49	11.5052	1.62708
93	1385.39	15.7536	2.2279
94	1372.03	12.7117	1.7977
95	1358.15	16.5539	2.34108
96	1341.3	10.6463	1.50561
97	1547.12	13.7245	1.94094
98	1532.73	19.5308	2.76207
99	1514.04	10.8422	1.53332
100	1503.19	21.2199	3.00094
