NumberOfElements	private_access	private_StdDev	global_read	read_StdDev	global_write	write_StdDev	read_write_access	read_write_StdDev	const_ivl_access	const_ivl_StdDev	ivl_access	ivl_StdDev	cont_const_access	cont_const_StdDev	two_cont_access	two_cont_StdDev	cont2_cont1_access	cont1_cont2_StdDev
4587520	0	0.0300307	-0.00585938	0.0315823	0.00195312	0.0392561	29.251	2.55326	50.6436	5.50286	6719.86	1.11398	33.4941	6.02758	6892.13	4.54416	39.5332	5.50068	31.4468	5.41677
4718592	0	0.0269216	0.14209	0.167184	0.193359	0.173501	28.0103	2.30489	59.8608	6.54919	6910.23	1.31359	22.3467	3.12969	7082.06	7.01231	21.5835	1.86576	26.5815	3.61832
4849664	0	0.0394755	-0.0390625	0.0311445	0.0791016	0.116825	35.6675	4.14293	55.1841	5.62962	7104.32	1.4661	27.0117	3.00614	7282.71	7.29563	29.7881	4.99981	26.9541	4.04402
4980736	0	0.101277	0.138184	0.153608	0.115234	0.171718	31.1543	2.45598	51.9351	4.6278	7293.96	1.50603	25.3418	2.62797	7488.25	9.28029	27.23	4.06448	30.5205	5.00294
5111808	0	0.0339367	0.175293	0.16951	0.140625	0.167152	27.2793	2.21272	41.8179	4.53382	7486.14	1.37614	29.3604	3.62625	7652.81	5.41451	31.5762	4.4776	32.959	4.35503
5242880	0	0.0247171	-0.150391	0.0283793	0.0239258	0.0302222	35.0127	3.06535	42.1333	5.17377	7675.76	1.16384	27.6353	3.72325	7863.85	5.89514	34.5928	6.22906	27.4297	2.33981
5373952	0	0.0335262	-0.0161133	0.0269981	0.0981445	0.111866	29.6567	2.99337	60.5825	6.68117	7866.33	1.20953	22.4219	2.09207	8056.51	5.79203	36.5542	6.92265	31.353	4.67747
5505024	0	0.175664	-0.220703	0.0224349	-0.179199	0.0511389	32.1636	3.18664	40.022	4.86679	8059.49	1.14201	22.21	2.65932	8253.41	7.41655	38.0186	6.82243	29.1729	3.79385
5636096	0	0.169403	-0.219238	0.0259707	-0.22998	0.028025	27.4912	3.37718	52.4126	6.70258	8251.56	1.37596	22.8247	2.11922	8458.62	5.34418	34.377	5.24437	24.0596	2.03988
5767168	0	0.027337	0.155273	0.173389	0.00439453	0.0419984	23.481	2.75575	31.2153	3.60901	8439.51	1.41413	27.9731	2.70921	8625.11	5.39029	38.9302	5.71551	25.5063	2.471
5898240	0	0.0263602	0.141113	0.176333	0.0175781	0.0303748	31.187	4.68898	32.8501	5.06066	8632.35	1.05124	22.9961	2.52229	8860.6	9.3936	26.7812	3.06631	31.0332	4.96606
6029312	0	0.036032	-0.0317383	0.0337852	-0.0854492	0.0182511	20.79	2.17339	28.6963	4.92258	8824.64	1.27669	24.3535	2.84608	9045.43	6.22446	34.4077	4.36577	25.375	3.73546
6160384	0	0.0199821	0.0307617	0.0294306	0.142578	0.126584	19.7515	2.44453	30.0845	4.95218	9020.89	1.55452	31.9082	3.95835	9219.79	7.59623	28.9834	3.98227	28.9971	4.65146
6291456	0	0.021721	0.171875	0.172643	0.173828	0.166618	17.3892	1.91881	27.3496	3.65847	9209.86	1.3273	29.2837	3.74341	9446.13	7.75786	38.9473	5.2109	31.9717	7.89467
6422528	0	0.0103724	0.153809	0.169894	0.1875	0.163587	25.6069	2.75198	18.7881	1.11558	9402.76	1.4727	18.9805	1.56631	9619.49	7.63436	35.0112	4.40621	23.6313	2.43558
6553600	0	0.0208466	0.0976562	0.0367449	0.258789	0.154125	23.8926	3.76274	32.1055	4.94775	9592.42	1.46548	30.7998	3.97932	9828.44	10.0088	36.0244	4.6006	29.2959	3.53421
6684672	0	0.172792	0.31543	0.283811	-0.0117188	0.0588475	23.7754	2.52419	34.9336	4.44525	9783.58	1.85753	28.0234	2.93553	10027.3	8.05269	32.8984	4.98559	24.6006	2.89078
6815744	0	0.0320555	-0.0498047	0.0212346	0.121094	0.170766	23.6211	3.1871	32.9092	3.81747	9973.71	1.57827	23.9414	2.80325	10197.6	6.9994	35.2539	3.80468	32.2617	4.079
6946816	0	0.0345471	-0.0302734	0.0366822	-0.00976562	0.032678	24.29	3.4328	23.9609	2.75301	10166	1.25608	26.7246	3.0885	10433.1	6.26936	38.752	5.15588	28.252	4.02009
7077888	0	0.0190965	0.15625	0.145175	0.133789	0.114402	22.8076	2.80633	30.46	4.8438	10356.9	1.49706	26.4736	2.91849	10593.6	6.96132	37.3262	6.32168	24.9473	2.09279
7208960	0	0.0321798	0.15332	0.174074	0.336914	0.24117	17.9648	1.3477	29.1562	3.05078	10551.7	1.76886	25.8711	2.86167	10811.8	9.23251	36.1426	6.04448	30.4209	5.18824
7340032	0	0.0218408	0.155273	0.171333	-0.00683594	0.025889	16.7432	1.00155	34.5547	5.22414	10740.6	1.39533	29.5576	4.38745	11015.6	7.7668	33.957	5.26953	37.7197	6.6428
7471104	0	0.029808	0	0.0323736	0.483398	0.292138	19.543	1.62904	27.3174	3.93607	10934.1	2.02594	27.2188	2.87171	11180.2	5.82822	39.4229	6.48132	39.3467	6.44191
7602176	0	0.0286069	0.182617	0.172668	-0.0244141	0.0231441	30.9365	6.93981	42.5957	6.15585	11125.9	1.71151	25.8799	3.25904	11416.9	10.9678	30.2881	4.34395	27.9062	2.57708
7733248	0	0.227057	-0.246094	0.126785	-0.371094	0.0171218	21.6826	2.24818	25.2627	3.40683	11313.8	1.32008	22.709	3.076	11573.5	6.71801	36.5957	6.22313	40.6172	5.43674
7864320	0	0.172849	0.112305	0.199704	-0.19043	0.0262852	27.7686	4.07851	33.5742	4.21382	11507.8	1.93301	19.6768	1.4921	11789.1	9.92434	38.5059	5.45696	29.1641	5.04947
7995392	0	0.239251	-0.0195312	0.232228	-0.00878906	0.235699	21.0361	2.31348	32.1816	3.61791	11699	1.39034	29.1924	3.0596	11981.6	4.9063	36.4102	4.42919	39.6582	5.52112
8126464	0	0.164847	-0.137695	0.0387853	0.527344	0.317164	22.4346	3.11153	28.9697	2.98413	11888.5	1.61983	24.04	3.03162	12164.7	9.45341	34.2744	6.01752	23.1924	2.20655
8257536	0	0.0319538	-0.0439453	0.0190631	0.573242	0.341878	22.2695	2.65606	37.6377	5.14162	12083.3	1.47348	31.5654	4.48191	12372.2	6.76304	30.2871	4.01901	30.1504	4.40481
8388608	0	0.0256927	-0.0205078	0.0353029	0.0712891	0.113447	23.1162	3.21875	29.6797	3.59338	12267.7	1.39461	23.4521	2.09133	12564.5	7.61086	41.5508	8.39722	27.8887	3.38044
8519680	0	0.0225214	0.268555	0.20319	0.0947266	0.167958	18.127	1.51571	32.7266	4.28975	12464.5	1.12222	30.0664	3.84659	12757.6	8.57372	42.9961	8.03082	30.7803	4.21518
8650752	0	0.201009	-0.287109	0.0263987	-0.30957	0.0197334	21.3594	3.33421	26.9062	2.79478	12657.1	1.74066	24.749	3.12664	12970.1	7.38753	36.5303	4.98817	27.5781	1.90945
8781824	0	0.171725	-0.219727	0.0193722	0.0126953	0.171148	23.6475	2.92755	38.5391	6.60005	12846.9	1.69	26.8496	3.7148	13164.2	15.6867	38.8213	5.89155	23.7646	2.09995
8912896	0	0.166904	-0.0634766	0.168207	-0.236328	0.0376343	28.9648	6.28759	32.2402	4.78551	13038.5	1.78632	30.3955	3.90432	13350.5	8.94737	42.3193	5.68384	30.8105	4.59457
9043968	0	0.182366	-0.0986328	0.167701	-0.0644531	0.168405	22.9961	2.24179	26.5723	3.19061	13225.9	1.55864	29.293	4.2958	13543.5	7.37211	35.1787	4.59441	34.5967	4.86644
