NumElements	Add	AddStdDev	Sub	SubStdDev	Mul	MulStdDev	Div	DivStdDev
131072	0.662399	0.229216	0.851196	0.164443	0.502426	0.275867	0.500809	0.274333
262144	-0.407959	0.621299	-0.860809	0.51545	0.846405	0.847069	-0.703979	0.511885
393216	-0.412781	0.636135	0.60321	0.858374	0.611267	0.597057	0.432007	0.829336
524288	1.31689	1.91892	0.884827	0.766923	-1.96008	0.404143	1.16315	0.968157
655360	-2.14392	0.430221	-1.00159	0.882132	-1.2912	0.643734	-0.0335083	0.919112
786432	1.77454	1.26803	1.33783	1.11121	1.50885	0.933707	2.96033	1.18809
917504	-1.0448	0.485816	-1.12	0.468894	-0.856079	0.770269	0.227295	0.965511
1048576	-0.165649	0.741899	0.464355	1.23755	-0.949951	0.830238	0.173462	1.34369
1179648	0.883423	1.52732	2.38892	2.04612	-0.983887	0.800586	1.09949	1.88465
1310720	1.54712	2.33323	-0.449829	1.29299	1.9292	1.65988	2.32141	2.23135
1441792	-0.892822	1.92482	0.68457	1.60994	-0.209961	2.59584	0.657837	2.04038
1572864	-2.14246	1.12508	-0.0944824	1.43786	3.25928	2.32493	3.72949	2.62796
1703936	1.23584	2.59672	8.36987	3.62704	4.6355	2.99241	6.81323	3.24525
1835008	4.59961	3.38968	11.0474	7.12309	2.69067	2.4953	5.34424	3.23449
1966080	-0.765137	2.45612	2.31348	3.22877	4.32422	3.52358	-3.16699	1.45895
2097152	0.458008	1.76684	1.40454	2.22424	-0.737305	1.49021	4.25928	3.01228
2228224	-2.88013	1.93606	-3.49023	1.58832	0.272461	3.724	-4.13477	1.28798
2359296	0.0625	3.5127	-3.38818	2.0678	-3.28491	1.89274	0.435547	2.44683
2490368	-3.37988	1.85218	-2.40894	1.80185	5.16064	3.79003	-0.5896	2.54946
2621440	-3.67676	1.20447	-3.23608	2.15677	-2.62939	1.45783	1.15576	2.45496
2752512	-2.34399	2.31547	-1.05908	2.7002	-1.07178	2.53749	2.87061	2.53288
2883584	1.10522	2.50314	2.29785	3.12198	-1.1709	2.5522	3.56934	3.81409
3014656	4.55762	2.09338	11.667	3.10986	2.28784	1.06457	8.46387	3.05923
3145728	-4.44678	2.14342	-6.18799	1.88197	-6.16016	2.93924	-4.125	1.85455
3276800	-4.9502	3.68145	-4.9834	3.55792	-4.67334	3.68741	-10.9814	1.88286
3407872	-3.64746	3.22277	-5.32422	1.83352	-2.63916	2.69636	0.475586	3.91551
3538944	-1.38818	4.06021	-1.60596	3.00013	-4.521	3.26398	1.99268	3.79363
3670016	-0.519043	2.77261	1.90869	4.70083	10.6377	4.76544	5.43994	3.66376
3801088	16.4458	5.64568	6.87988	2.75061	15.1621	4.28555	14.1167	3.97813
3932160	-8.53125	3.96397	-7.19092	4.01623	-3.48486	4.98348	6.94287	5.15355
4063232	-2.41309	4.32528	-0.739746	4.69313	1.40967	4.45771	-2.77002	4.28631
4194304	12.46	5.68955	8.66504	4.91898	-3.63135	2.75517	17.1372	5.13253
4325376	4.02246	6.62022	9.23486	6.05207	3.40967	5.85174	10.5811	5.62615
4456448	6.42676	5.42775	-0.350098	3.60964	1.89551	5.02344	13.6743	5.24203
4587520	-6.99512	2.6754	2.6748	5.5009	2.4585	4.77943	5.25	5.12794
4718592	3.95605	4.37777	5.06934	4.60922	12.4731	5.40173	14.355	5.25804
4849664	3.29395	3.45937	6.77734	4.09773	8.4292	4.25616	11.9536	4.93124
4980736	3.24561	5.91557	4.51025	5.52865	-0.717285	4.68197	3.28467	5.54192
5111808	4.91699	3.14795	6.86572	3.9201	2.39307	2.40543	13.4277	5.34658
5242880	-10.9106	2.16266	6.04883	4.90137	0.245605	4.80603	2.00195	4.07916
5373952	3.32373	3.84281	5.62646	4.73955	6.99707	3.79482	12.5859	5.6234
5505024	3.74561	3.45788	2.63477	3.56028	2.1084	3.1196	13.3428	4.66265
5636096	-5.44873	2.59185	-1.17822	4.25722	0.443848	4.60284	6.97705	5.27828
5767168	0.932617	2.7645	-0.273926	3.01863	-2.61182	3.17936	9.18896	4.982
5898240	-0.0825195	3.97413	5.52002	5.17311	1.44336	3.55189	1.4082	2.91631
6029312	0.335938	3.30639	2.78564	3.14592	6.49902	5.03818	7.21094	5.78028
6160384	2.87402	3.08294	-2.5083	1.68702	3.65967	3.86088	11.0474	5.22717
6291456	-1.15869	1.85967	4.48682	3.66685	1.26416	3.29671	1.67432	3.27568
6422528	-6.48145	3.62521	3.70898	4.78342	5.8999	5.52028	7.99072	6.28781
6553600	-4.34863	2.91675	-11.7402	1.49681	-7.73926	2.19837	-5.83789	2.309
6684672	-11.5859	2.18484	-2.31543	5.00139	-12.3867	2.48042	-3.85352	4.65428
6815744	-7.20996	3.638	-10.9102	3.56544	-4.94824	4.45069	-8.89648	3.38724
6946816	-1.96484	4.13913	1.4502	4.85534	-3.87305	3.08754	12.5459	6.40876
7077888	-8.74609	3.37724	-17.4238	2.60195	-0.199219	6.25825	-8.65527	3.50347
7208960	-8.19043	2.46354	-6.37598	2.49334	1.33594	4.75808	-3.10156	4.81882
7340032	17.2744	7.53752	-0.389648	4.20354	9.49805	4.65039	-1.48926	3.1888
7471104	-0.15332	2.91916	4.06738	4.56493	4.40332	4.72431	-0.21582	3.32794
7602176	10.4248	5.91562	-2.18359	2.2549	5.40234	4.746	12.915	6.73296
7733248	4.1084	4.18454	2.93066	4.5207	1.22363	4.17789	7.09668	4.97156
7864320	19.5635	9.38258	29.9463	21.8629	5.6875	5.85335	12.4492	7.33149
7995392	31.751	18.5634	-6.37695	1.74407	4.80566	5.53795	-0.111328	4.14783
8126464	0.796875	2.01629	2.69531	2.9374	1.86621	3.59313	16.5898	5.2203
